id,name,birthdate,deathdate
832,Blaine Anderson,,
833,Blair Brown,4/23/46,
834,Blair Erickson,,
835,Blair Hayes,,
836,Blair Underwood,8/25/64,
837,Blake Edwards,7/26/22,12/15/10
838,Blake Lindsley,12/19/73,
839,Blake Ritson,1/14/78,
840,Blanchard Ryan,1/12/67,
841,Blaz Zavrsnik,7/17/84,
842,Blythe Auffarth,,
843,Blythe Danner,2/3/43,
844,Bo Huang,8/26/74,
845,Bo Welch,11/30/51,
846,Bo Zenga,,
847,Boaz Yakin,,
848,Bob Balaban,8/16/45,
849,Bob Clark,8/5/39,4/4/07
850,Bob Clendenin,4/14/64,
851,Bob Costas,3/22/52,
852,Bob Dole,7/22/23,
853,Bob Dolman,,
854,Bob Dylan,5/24/41,
855,Bob Eubanks,1/8/38,
856,Bob Fosse,6/23/27,9/23/87
857,Bob Giraldi,1/17/39,
858,Bob Gosse,1/9/63,
859,Bob Gunton,11/15/45,
860,Bob Hoskins,10/26/42,4/29/14
861,Bob Marley,2/6/45,5/11/81
862,Bob Neill,,
863,Bob Newhart,9/5/29,
864,Bob Odenkirk,10/22/62,
865,Bob Peck,8/23/45,4/4/99
866,Bob Proctor,,
867,Bob Rafelson,2/21/33,
868,Bob Ross,6/26/08,
869,Bob Saget,5/17/56,
870,Bob Spiers,9/27/45,12/8/08
871,Bobb'e J. Thompson,2/28/96,
872,Bobbie Phillips,1/29/68,
873,Bobby Batson,,
874,Bobby Block,12/10/28,5/13/72
875,Bobby Brown,,
876,Bobby Coleman,5/5/97,
877,Bobby Deol,,
878,Bobby Farrelly,6/17/58,
879,Bobby Kendall,,
880,Bobby Lee,9/17/72,
881,Bobby Moynihan,1/31/77,
882,Bobby Roth,,
883,Bobcat Goldthwait,5/26/62,
884,Bojana Novakovic,11/17/81,
885,Bokeem Woodbine,4/13/73,
886,Bolaji Badejo,8/23/53,12/22/92
887,Bolo Yeung,2/27/46,
888,Boman Irani,12/2/59,
889,Bonnie Henna,,
890,Bonnie Hunt,9/22/61,
891,Bonnie Lee Bouman,,
892,Bonnie Somerville,2/24/74,
893,Bono,5/10/60,
894,Bonz Malone,,
895,Boris Kodjoe,3/8/73,
896,Boris Rodriguez,,
897,Boyd Banks,4/16/64,
898,Boyd Holbrook,9/1/81,
899,Boys II Men,9/26/72,
900,Brad Anderson,,
901,Brad Bird,9/24/57,
902,Brad Copeland,,
903,Brad Furman,,
904,Brad Garrett,4/14/60,
905,Brad J. Silverman,,
906,Brad James,,
907,Brad Lee Wind,4/10/68,
908,Brad Leland,9/15/54,
909,Brad Peyton,,
910,Brad Pitt,12/18/63,
911,Brad Renfro,7/25/82,1/15/08
912,Brad Schmidt,5/31/79,
913,Brad Silberling,9/8/63,
914,Brad William Henke,4/10/66,
915,Bradley Cooper,1/5/75,
916,Bradley Parker,,
917,Bradley Pierce,10/23/82,
918,Bradley Rust Gray,,
919,Bradley Whitford,10/10/59,
920,Brady Corbet,8/17/88,
921,Braeden Lemasters,1/27/96,
922,Brahim Achabbakhe,5/17/84,
923,Brahmanandam,2/1/56,
924,Brandon Camp,,
925,Brandon Cronenberg,,
926,Brandon Landers,,
927,Brandon Middleton,,
928,Brandon Molale,11/24/71,
929,Brandon Smith,5/29/89,
930,Brandon T. Jackson,3/7/84,
931,Brandon Trost,8/29/81,
932,Brandy Norwood,2/11/79,
933,Branko Djuric,5/28/62,
934,Breck Eisner,12/24/70,
935,Bree Turner,3/10/77,
936,Bree Williamson,12/28/79,
937,Brenda Bakke,5/15/63,
938,Brenda Blethyn,2/20/46,
939,Brenda Chapman,11/1/62,
940,Brenda Fricker,2/17/45,
941,Brenda Song,3/27/88,
942,Brenda Strong,3/25/60,
943,Brenda Vaccaro,11/18/39,
944,Brendan Coyle,12/2/63,
945,Brendan Doogie Milewski,,
946,Brendan Fehr,10/29/77,
947,Brendan Fraser,12/3/68,
948,Brendan Mackey,,
949,Brendan Malloy,,
950,Brendan Sexton III,2/21/80,
951,Brendon Eggertsen,,
952,Brent Anderson,,
953,Brent David Fraser,2/21/67,
954,Brent Neale,4/17/63,
955,Brent Sexton,8/12/67,
956,Brenton Spencer,,
957,Brett Cullen,8/26/56,
958,Brett Leonard,5/14/59,
959,Brett Piper,,
960,Brett Ratner,3/28/69,
961,Brett Wagner,,
962,Brian A Miller,,
963,Brian Anthony Wilson,2/22/60,
964,Brian Austin Green,7/15/73,
965,Brian Baugh,,
966,Brian Blessed,10/9/36,
967,Brian Bosworth,3/9/65,
968,Brian Caunter,,
969,Brian d'Arcy James,6/29/68,
970,Brian Dannelly,,
971,Brian De Palma,9/11/40,
972,Brian Dennehy,7/9/38,
973,Brian Dietzen,11/14/77,
974,Brian Dorton,,
975,Brian Doyle-Murray,10/31/45,
976,Brian Eno,5/15/48,
977,Brían F. O'Byrne,5/16/67,
978,Brian Geraghty,5/13/75,
979,Brian Gibson,9/22/44,1/4/04
980,Brian Helgeland,1/17/61,
981,Brian Henson,11/3/63,
982,Brian Herzlinger,2/19/76,
983,Brian Howe,,
984,Brian Johnson,,
985,Brian Keith,11/14/21,6/24/97
986,Brian Klugman,9/14/75,
987,Brian Koppelman,,
988,Brian Lee Franklin,,
989,Brian Levant,8/6/52,
990,Brian McNamara,11/21/60,
991,Brian O'Halloran,12/20/69,
992,Brian Percival,,
993,Brian Robbins,11/22/63,
994,Brian Steele,,
995,Brian Stepanek,2/6/71,
996,Brian Thompson,8/28/59,
997,Brian Trenchard-Smith,,
998,Brian Van Holt,7/6/69,
999,Brian Whitaker,,
1000,Brian Yuzna,,
1001,Brianna Brown,10/2/79,
1002,Brianne Brozey,8/25/63,
1003,Bridget Fonda,1/27/64,
1004,Bridgette Wilson-Sampras,9/25/73,
1005,Bridgit Mendler,12/18/92,
1006,Brighton Sharbino,,
1007,Brigitte Bardot,9/28/34,
1008,Brigitte Helm,3/17/06,6/11/96
1009,Brigitte Nielsen,7/15/63,
1010,Brion James,2/4/75,
1011,Brit Morgan,9/24/87,
1012,Britney Spears,12/2/81,
1013,Britt Allcroft,12/14/43,
1014,Britt Ekland,10/6/42,
1015,Brittany Curran,6/2/90,
1016,Brittany Daniel,3/17/76,
1017,Brittney Powell,3/4/72,
1018,Brock Baker,,
1019,Brock Peters,7/2/27,8/23/05
1020,Bronagh Gallagher,,
1021,Bronwen Hughes,,
1022,Brooke Bundy,8/8/44,
1023,Brooke Newton,6/5/86,
1024,Brooke Shields,5/31/65,
1025,Brooke Smith,5/22/67,
1026,Brooklynn Proulx,4/27/99,
1027,Bruce Alexander,,
1028,Bruce Altman,7/3/55,
1029,Bruce Beresford,8/16/40,
1030,Bruce Boxleitner,5/12/50,
1031,Bruce Campbell,6/22/58,
1032,Bruce Davison,6/28/46,
1033,Bruce Dellis,,
1034,Bruce Dern,6/4/36,
1035,Bruce Gooch,,
1036,Bruce Goodchild,,
1037,Bruce Green,,
1038,Bruce Greenwood,8/12/56,
1039,Bruce Hopkins,11/25/55,
1040,Bruce Hunt,,
1041,Bruce Kerr,,
1042,Bruce Macdonald,5/28/59,
1043,Bruce Malmuth,2/4/34,6/29/05
1044,Bruce McCulloch,5/12/61,
1045,Bruce McDonald,5/28/59,
1046,Bruce McGill,7/11/50,
1047,Bruce Newbold,,
1048,Bruce Paltrow,11/26/43,10/3/02
1049,Bruce Payne,11/22/58,
1050,Bruce Spence,9/17/45,
1051,Bruce Thomas,,
1052,Bruce Vilanch,11/23/48,
1053,Bruce Willis,3/19/55,
1054,Bruno Barreto,3/16/55,
1055,Bruno Campos,12/3/73,
1056,Bruno Ganz,3/22/41,
1057,Bruno Kirby,4/28/49,8/14/06
1058,Bryan Barber,,
1059,Bryan Brown,6/23/47,
1060,Bryan Callen,1/26/67,
1061,Bryan Dick,8/23/52,
1062,Bryan Singer,9/17/65,
1063,Bryce Dallas Howard,3/2/81,
1064,Bubba Smith,,
1065,Bud Cort,3/29/48,
1066,Bunta Sugawara,8/16/33,11/28/14
1067,Burgess Meredith,11/16/07,9/9/97
1068,Burghart Klaußner,9/13/49,
1069,Burl Ives,6/14/09,4/14/95
1070,Burr Steers,10/8/65,
1071,Burt Kwouk,7/18/30,5/24/16
1072,Burt Ward,7/6/45,
1073,Burt Young,4/30/40,
1074,Buster Keaton,1895-10-04,2/1/66
1075,Busy Philipps,6/25/79,
1076,Buzz Aldrin,1/20/30,
1077,Byron Howard,12/26/68,
1078,Byron Mann,,
1079,C. Fraser Press,,
1080,C. Jay Cox,,
1081,Cabrina Collesides,,
1082,Caitlin FitzGerald,,
1083,Caitlin Stasey,5/1/90,
1084,Caitlyn Jenner,10/28/49,
1085,Caity Lotz,12/30/86,
1086,Cal Brunker,,
1087,Caleb Landry Jones,12/7/89,
1088,Callie Khouri,11/27/57,
1089,Callie Thorne,11/20/69,
1090,Callum Blue,8/19/77,
1091,Callum Rennie,9/14/60,
1092,Calvin Lockhart,10/18/34,3/29/07
1093,Cam Clarke,11/6/57,
1094,Cameron Boyce,5/28/99,
1095,Cameron Bright,1/26/93,
1096,Cameron Crowe,7/13/57,
1097,Cameron Mills,,
1098,Cameron Monaghan,8/16/93,
1099,Cameron Rhodes,8/1/67,
1100,Camille Delamarre,10/3/79,
1101,Campbell Scott,7/19/61,
1102,Camren Bicondova,5/22/99,
1103,Camryn Manheim,3/8/61,
1104,Candace Kroslak,7/22/78,
1105,Candice Bergen,5/9/46,
1106,Cara Delevingne,8/12/92,
1107,Cara Horgan,,
1108,Cara Seymour,,
1109,Carel Struycken,7/30/48,
1110,Cariba Heine,10/1/88,
1111,Carl Franklin,4/11/49,
1112,Carl Gilliard,4/18/58,
1113,Carl Rinsch,,
1114,Carl Theodor Dreyer,1889-02-03,3/20/68
1115,Carl Weathers,1/14/48,
1116,Carla Gallo,6/24/75,
1117,Carlease Burke,,
1118,Carlo Cecchi,1/25/39,
1119,Carlos Alazraqui,7/20/62,
1120,Carlos Bardem,3/7/63,
1121,Carlos Carrera,8/18/62,
1122,Carlos Gallardo,,
1123,Carlos Lasarte,9/14/41,
1124,Carlos Ponce,9/4/72,
1125,Carlos Saldanha,1/24/65,
1126,Carlos Saura,1/4/32,
1127,Carly Schroeder,10/18/90,
1128,Carmen Argenziano,10/27/43,
1129,Carmen Ejogo,10/22/73,
1130,Carmen Electra,4/20/72,
1131,Carmen Marron,,
1132,Carmen Maura,9/15/45,
1133,Carmen Perez,,
1134,Carmine Giovinazzo,8/24/73,
1135,Carol Ann Susi,2/2/52,11/11/14
1136,Carol Block,,
1137,Carol Channing,1/31/21,
1138,Carol Kane,6/18/52,
1139,Carol Reed,12/30/06,4/25/76
1140,Carol Sutton,,
1141,Carole Bouquet,8/18/57,
1142,Caroline Dhavernas,5/15/78,
1143,Caroline Goodall,11/13/59,
1144,Caroline Link,6/2/64,
1145,Caroline Munro,1/16/49,
1146,Caroll Spinney,12/26/33,
1147,Carolyn Hennesy,6/10/62,
1148,Carrie Bradstreet,,
1149,Carrie Henn,5/7/76,
1150,Carrie Preston,6/21/67,
1151,Carroll Baker,5/28/31,
1152,Carroll Ballard,10/14/37,
1153,Carroll O'Connor,8/2/24,6/21/01
1154,Carter Jenkins,9/4/91,
1155,Carter Smith,9/6/71,
1156,Cary Bell,,
1157,Cary-Hiroyuki Tagawa,9/27/50,
1158,Caryn Waechter,,
1159,Cas Anvar,,
1160,Casey Affleck,8/12/75,
1161,Casey Gooden,,
1162,Casey Kasem,4/27/32,6/15/14
1163,Casey Siemaszko,3/17/61,
1164,Casper Christensen,8/22/68,
1165,Casper Crump,7/11/77,
1166,Casper Martinez,,
1167,Cassandra Nicolaou,,
1168,Cassandra Peterson,9/17/51,
1169,Cassidy Gifford,8/2/93,
1170,Cassie Ventura,8/26/86,
1171,Cat Ly,,
1172,Catalina Sandino Moreno,4/19/81,
1173,Catherine Bell,8/14/68,
1174,Catherine Deneuve,10/22/43,
1175,Catherine Dent,4/14/65,
1176,Catherine Dyer,,
1177,Catherine Gund,,
1178,Catherine Hardwicke,10/21/55,
1179,Catherine Hicks,8/6/51,
1180,Catherine Jelski,,
1181,Catherine Lambert,,
1182,Catherine Lough Haggquist,,
1183,Catherine McCormack,4/3/72,
1184,Catherine O'Hara,3/4/54,
1185,Catherine Owens,,
1186,Catherine Parks,12/10/56,
1187,Catherine Schell,7/17/44,
1188,Catherine Tate,5/12/68,
1189,Cathryn de Prume,7/4/64,
1190,Cathy Malkasian,,
1191,Cathy Moriarty,11/29/60,
1192,Catriona MacColl,10/3/54,
1193,CCH Pounder,12/25/52,
1194,Cecelia Antoinette,,
1195,Cecil B. DeMille,1881-08-12,1/21/59
1196,Cecil Kellaway,1893-08-22,2/28/73
1197,Cécile De France,7/17/75,
1198,Cecilia Pillado,,
1199,Cédric Klapisch,9/4/61,
1200,Cedric Nicolas-Troyan,3/9/69,
1201,Cedric the Entertainer,4/24/64,
1202,Celeste Holm,4/29/17,7/15/12
1203,Celia Imrie,7/15/52,
1204,Celia Weston,12/14/51,
1205,Celina Beach,,
1206,Celina Jade,6/10/85,
1207,Cem Yilmaz,4/23/73,
1208,Cesar Romero,2/15/07,1/1/94
1209,Chad Allen,6/5/74,
1210,Chad Bishop,,
1211,Chad Hartigan,8/31/82,
1212,Chad Kapper,,
1213,Chad L. Coleman,9/6/74,
1214,Chad Lindberg,11/1/76,
1215,Chad Lowe,1/15/68,
1216,Chan-wook Park,8/23/63,
1217,Chandler Canterbury,12/15/98,
1218,Channing Tatum,4/26/80,
1219,Chao-Bin Su,,
1220,Charice,9/5/76,
1221,Charis Michelsen,12/30/74,
1222,Charla Cochran,3/28/68,
1223,Charles Adelman,8/31/76,
1224,Charles Aidman,1/21/25,11/7/93
1225,Charles Aznavour,5/22/24,
1226,Charles Baker,2/27/71,
1227,Charles Binamé,,
1228,Charles Chaplin,1889-04-16,12/25/77
1229,Charles Ferguson,3/24/55,
1230,Charles Grodin,4/21/35,
1231,Charles Herman-Wurmfeld,7/5/66,
1232,Charles Irving Beale,,
1233,Charles Keating,10/22/41,8/8/14
1234,Charles King,,
1235,Charles Linton,,
1236,Charles Martin Smith,10/30/53,
1237,Charles Martinet,,
1238,Charles Matthau,12/10/62,
1239,Charles Mesure,8/12/70,
1240,Charles Napier,4/12/36,10/5/11
1241,Charles Robert Carner,4/30/57,
1242,Charles S. Dutton,1/30/51,
1243,Charles Shyer,10/11/41,
1244,Charles Stone III,,
1245,Charles T. Kanganis,,
1246,Charlie Bewley,1/25/81,
1247,Charlie Hunnam,4/10/80,
1248,Charlie Kaufman,11/19/58,
1249,Charlie Korsmo,7/20/78,
1250,Charlie Levi,,
1251,Charlie McDermott,4/6/90,
1252,Charlie Murphy,,
1253,Charlie Rowe,1/5/42,
1254,Charlie Saxton,,
1255,Charlie Tahan,,
1256,Charlie Talbert,12/13/78,
1257,Charlie Yeung,5/23/74,
1258,Charlize Theron,8/7/75,
1259,Charlotte Bøving,8/15/64,
1260,Charlotte Le Bon,9/4/86,
1261,Charlotte Lewis,8/7/67,
1262,Charlotte Rae,4/22/26,
1263,Charlotte Rampling,2/5/46,
1264,Charlotte Stewart,2/27/41,
1265,Charlotte Sullivan,10/21/83,
1266,Charly Bivona,,
1267,Charlyne Yi,1/4/86,
1268,Chase Armitage,8/2/85,
1269,Chase Ellison,9/22/93,
1270,Chase Masterson,2/26/63,
1271,Chasty Ballesteros,,
1272,Chatchai Plengpanich,,
1273,Chatrichalerm Yukol,11/29/42,
1274,Chazz Palminteri,5/15/52,
1275,Cheech Marin,7/13/46,
1276,Chelan Simmons,10/29/82,
1277,Chelcie Ross,10/26/42,
1278,Chelse Swain,5/25/83,
1279,Chelsea Bond,,
1280,Chelsea Field,5/27/57,
1281,Chelsea Handler,2/25/75,
1282,Chelsey Reist,,
1283,Chemeeka Walker,,
1284,Chen Chang,10/14/76,
1285,Chenoa Maxwell,11/16/69,
1286,Cherami Leigh,7/19/88,
1287,Cheri Oteri,9/19/62,
1288,Cherry Jones,11/21/56,
1289,Cheryl Dunye,5/13/66,
1290,Cheryl Hines,9/21/65,
1291,Cheryl Ladd,7/12/51,
1292,Cheryl Penland,,
1293,Cheryl Tiegs,9/25/47,
1294,Chester,1/20/70,
1295,Cheyenne Jackson,7/12/75,
1296,Chi Chung Lam,8/16/76,
1297,Chi Ling Chiu,,
1298,Chi McBride,9/23/61,
1299,Chi Muoi Lo,,
1300,Chia-Liang Liu,8/1/36,6/25/13
1301,Chiaki Kuriyama,10/10/84,
1302,Chiara Caselli,12/22/67,
1303,Chin-Chien Chang,,
1304,China Chow,4/15/74,
1305,Ching Wan Lau,2/16/64,
1306,Chita Rivera,1/23/33,
1307,Chloe Bridges,12/27/91,
1308,Chloë Grace Moretz,2/10/97,
1309,Chloe Hollings,,
1310,Chloe Rose,10/25/94,
1311,Chris 'Wonder' Schoeck,,
1312,Chris Andrew Ciulla,7/28/75,
1313,Chris Atkins,,
1314,Chris Barrie,3/28/60,
1315,Chris Bauer,10/28/66,
1316,Chris Brochu,,
1317,Chris Brown,5/5/89,
1318,Chris Buck,,
1319,Chris Butler,,
1320,Chris Carter,10/13/56,
1321,Chris Cleveland,,
1322,Chris Columbus,9/10/58,
1323,Chris Cox,,
1324,Chris D'Arienzo,4/14/72,
1325,Chris Eigeman,3/1/65,
1326,Chris Elliott,5/31/60,
1327,Chris Ellis,4/14/56,
1328,Chris Evans,6/13/81,
1329,Chris Eyre,,
1330,Chris Gauthier,1/27/76,
1331,Chris Geere,3/18/81,
1332,Chris Gorak,,
1333,Chris Harrison,7/26/71,
1334,Chris Hemsworth,8/11/83,
1335,Chris Kattan,10/19/70,
1336,Chris Kentis,10/23/62,
1337,Chris Klein,3/14/79,
1338,Chris Koch,,
1339,Chris Lowell,10/17/84,
1340,Chris Marker,7/29/21,7/29/12
1341,Chris Marquette,10/3/84,
1342,Chris Miller,9/23/75,
1343,Chris Moss,,
1344,Chris Mulkey,5/3/48,
1345,Chris Nahon,12/5/68,
1346,Chris New,2/17/40,
1347,Chris Noonan,11/14/52,
1348,Chris Noth,11/13/54,
1349,Chris Owen,9/7/61,
1350,Chris Paine,8/26/80,
1351,Chris Parnell,2/5/67,
1352,Chris Penn,10/10/65,1/24/06
1353,Chris Pontius,7/16/74,
1354,Chris Roberts,,
1355,Chris Robinson,11/5/38,
1356,Chris Rock,2/7/65,
1357,Chris Shadley,7/21/75,
1358,Chris Stokes,,
1359,Chris Thomas,,
1360,Chris Wedge,3/20/57,
1361,Chris Weitz,11/30/69,
1362,Chris Young,4/28/57,
1363,Chris Zylka,5/9/85,
1364,Chriss Anglin,,
1365,Christa B. Allen,11/11/91,
1366,Christa Miller,5/28/64,
1367,Christel Khalil,11/30/87,
1368,Christian Alvarez,7/25/86,
1369,Christian Alvart,5/28/74,
1370,Christian Anderson,12/26/32,12/1/00
1371,Christian Bale,1/30/74,
1372,Christian Berkel,10/28/57,
1373,Christian Camargo,7/7/71,
1374,Christian Campbell,5/12/72,
1375,Christian Carion,1/4/63,
1376,Christian Clavier,5/6/52,
1377,Christian Clemenson,3/17/58,
1378,Christian Ditter,,
1379,Christian Duguay,,
1380,Christian E. Christiansen,12/14/72,
1381,Christian Kapper,,
1382,Christian Keyes,,
1383,Christian Monzon,,
1384,Christian Sesma,,
1385,Christian Stolte,10/16/62,
1386,Christian Volckman,,
1387,Christiana Leucas,,
1388,Christie Burke,,
1389,Christina Chambers,10/24/69,
1390,Christina Cox,7/31/71,
1391,Christina Hart,7/21/49,
1392,Christina Milian,9/26/81,
1393,Christina Moore,,
1394,Christina Vidal,11/18/81,
1395,Christine Cavanaugh,8/16/63,12/22/14
1396,Christine Jeffs,1/29/63,
1397,Christine Lakin,1/25/79,
1398,Christine Taylor,7/30/71,
1399,Christo Jivkov,2/18/75,
1400,Christoph Waltz,10/4/56,
1401,Christophe Ali,,
1402,Christophe Barratier,6/17/63,
1403,Christophe Cherki,,
1404,Christophe Gans,3/11/60,
1405,Christopher Abbott,,
1406,Christopher Atkins,2/21/61,
1407,Christopher B. Duncan,,
1408,Christopher Barnard,,
1409,Christopher Berry,,
1410,Christopher Cain,10/29/43,
1411,Christopher Cousins,9/27/60,
1412,Christopher Denham,,
1413,Christopher Erskin,,
1414,Christopher Evan Welch,9/28/65,12/2/13
1415,Christopher Guest,2/5/48,
1416,Christopher Heyerdahl,9/18/63,
1417,Christopher Hutson,,
1418,Christopher James Baker,,
1419,Christopher Judge,10/13/64,
1420,Christopher Lambert,3/29/57,
1421,Christopher Landon,2/27/75,
1422,Christopher Lee,5/27/22,6/7/15
1423,Christopher Leitch,,
1424,Christopher M. Bessette,,
1425,Christopher Masterson,1/22/80,
1426,Christopher McQuarrie,,
1427,Christopher Meloni,4/2/61,
1428,Christopher Morris,9/5/65,
1429,Christopher Nicholas Smith,,
1430,Christopher Nolan,7/30/70,
1431,Christopher Rich,9/16/53,
1432,Christopher Robin Miller,5/29/69,
1433,Christopher Schmidt,,
1434,Christopher Scott Cherot,,
1435,Christopher Simpson,7/9/74,
1436,Christopher Smith,7/17/62,
1437,Christopher Sommers,,
1438,Christopher Spencer,,
1439,Christopher Toler,11/11/72,
1440,Christopher Webster,,
1441,Chrystale Wilson,,
1442,Chrystee Pharris,3/7/76,
1443,Chuan Lu,2/8/71,
1444,Chuck Bowman,6/2/37,
1445,Chuck Mitchell,11/28/27,6/22/92
1446,Chuck Russell,5/9/58,
1447,Chuck Sheetz,12/31/60,
1448,Chuck Zito,3/1/53,
1449,Chulpan Khamatova,10/1/75,
1450,Ciarán Foy,,
1451,Cicely Tyson,12/18/24,
1452,Cinda McCain,,
1453,Cindy Robinson,4/6/68,
1454,Cindy Williams,8/22/47,
1455,CindyMarie Small,,
1456,Circus-Szalewski,,
1457,CJ Adams,,
1458,Cjon Saulsberry,,
1459,Claire Adams,,
1460,Claire Bloom,2/15/31,
1461,Claire Foy,4/16/84,
1462,Claire Geare,,
1463,Claire Gordon-Harper,,
1464,Clare Higgins,11/10/55,
1465,Clare Kilner,,
1466,Clare Kramer,9/3/74,
1467,Clarence Williams III,8/21/39,
1468,Clark Baker,,
1469,Clark Gregg,4/2/62,
1470,Clark Johnson,9/10/54,
1471,Clarke Peters,4/7/52,
1472,Claude Akins,5/25/26,1/27/94
1473,Claude Chabrol,6/24/30,9/12/10
1474,Claude Miller,2/20/42,4/4/12
1475,Claude Rains,1889-11-10,5/30/67
1476,Claude-Oliver Rudolph,11/30/56,
1477,Claudette Colbert,9/13/03,7/30/96
1478,Claudette Lalí,8/1/75,
1479,Claudia Cardinale,4/15/38,
1480,Claudia Christian,8/10/65,
1481,Claudia Ferri,,
1482,Claudia Lapacó,6/25/40,
1483,Claudia Llosa,11/15/76,
1484,Claudia Sainte-Luce,,
1485,Claudia Stedelin,,
1486,Claudiu Trandafir,9/15/63,
1487,Clay Kaytis,,
1488,Clayne Crawford,4/20/78,
1489,Clayton Rohner,8/5/57,
1490,Clayton Snyder,9/9/87,
1491,Clé Bennett,3/18/50,
1492,Clea DuVall,9/25/77,
1493,Cleavon Little,6/1/39,10/22/92
1494,Clemens Schick,2/15/72,
1495,Cliff Edwards,1895-06-14,7/17/71
1496,Cliff Robertson,9/9/23,9/10/11
1497,Clifton Collins Jr.,6/16/70,
1498,Clifton James,1/13/55,
1499,Clifton Powell,3/16/56,
1500,Clint Eastwood,5/31/30,
1501,Clint Howard,4/20/59,
1502,Clint Jordan,,
1503,Clint Jung,,
1504,Clint Mansell,1/7/63,
1505,Clive Barker,10/5/52,
1506,Clive Revill,4/18/30,
1507,Clive Russell,12/7/45,
1508,Clive Standen,7/22/81,
1509,Clive Swift,2/9/36,
1510,Clotilde Mollet,,
1511,Clovis Fouin,,
1512,Clu Gulager,11/16/28,
1513,Clyde Kusatsu,9/13/48,
1514,Cody Cameron,10/12/70,
1515,Cody Howard,,
1516,Cody Linley,11/20/89,
1517,Cole Hauser,3/22/75,
1518,Colette Divine,,
1519,Colin Andrews,9/10/60,
1520,Colin Farrell,5/31/76,
1521,Colin Ferguson,7/22/72,
1522,Colin Firth,9/10/60,
1523,Colin Higgins,7/28/41,8/5/88
1524,Colin Minihan,,
1525,Colin O'Donoghue,1/26/81,
1526,Colin Salmon,12/6/62,
1527,Colin Stinton,3/10/47,
1528,Colin Strause,11/8/76,
1529,Colin Trevorrow,9/13/76,
1530,Colleen Dewhurst,6/3/24,8/22/91
1531,Colleen Haskell,12/6/76,
1532,Colleen O'Shaughnessey,9/15/71,
1533,Collette Wolfe,4/4/80,
1534,Collin Alfredo St. Dic,,
1535,Collin Chou,8/11/67,
1536,Collin Joseph Neal,7/5/85,
1537,Collin Kahey,4/11/81,
1538,Collin Schiffli,,
1539,Collins Pennie,6/20/85,
1540,Colm Feore,8/22/58,
1541,Common,3/13/72,
1542,Conchata Ferrell,3/28/43,
1543,Conleth Hill,11/24/64,
1544,Connie Nielsen,7/3/65,
1545,Connie Ray,7/10/56,
1546,Connor Corum,,
1547,Connor Paolo,7/11/90,
1548,Conor McMahon,,
1549,Conor McPherson,8/6/71,
1550,Conrad Coates,,
1551,Conrad Dunn,,
1552,Conrad Goode,1/9/62,
1553,Conrad Kemp,,
1554,Conrad Veidt,1893-01-22,4/3/43
1555,Conrad Vernon,7/11/68,
1556,Constance Marie,9/9/65,
1557,Constance Shulman,4/4/58,
1558,Constance Wu,3/22/82,
1559,Consuelo Gómez,,
1560,Corbin Allred,5/25/79,
1561,Corbin Bernsen,9/7/54,
1562,Corbin Bleu,2/21/89,
1563,Corey Grant,,
1564,Corey Johnson,5/17/61,
1565,Corey Sevier,7/3/84,
1566,Corey Yuen,,
1567,Corinna Harney,2/20/72,
1568,Corlandos Scott,,
1569,Cornel Wilde,10/13/12,10/16/89
1570,Cory Edwards,,
1571,Cory Hardrict,11/9/79,
1572,Costa-Gavras,2/12/33,
1573,Costas Mandylor,9/3/65,
1574,Countess Vaughn,8/8/78,
1575,Courtney B. Vance,3/12/60,
1576,Courtney Bell,6/4/78,
1577,Courtney Gains,8/22/65,
1578,Courtney Hunt,,
1579,Courtney Love,7/9/64,
1580,Courtney Solomon,9/1/71,
1581,Coyote Shivers,9/24/65,
1582,Craig Bierko,8/18/64,
1583,Craig Bolotin,5/23/54,
1584,Craig Brewer,12/6/71,
1585,Craig Conway,,
1586,Craig Dougherty,,
1587,Craig Fairbrass,,
1588,Craig Ferguson,5/17/62,
1589,Craig Gillespie,9/1/67,
1590,Craig Hall,,
1591,Craig Johnson,12/17/73,
1592,Craig Mazin,4/8/71,
1593,Craig Moss,,
1594,Craig Parker,11/12/70,
1595,Craig R. Baxley,10/20/49,
1596,Craig Roberts,1/21/91,
1597,Craig Sheffer,4/23/60,
1598,Craig Stark,,
1599,Craig T. Nelson,4/4/44,
1600,Craig Zobel,,
1601,Cree Kelly,,
1602,Cree Summer,7/7/69,
1603,Cristián de la Fuente,3/10/74,
1604,Cristian Mungiu,4/27/68,
1605,Crystal Lowe,1/20/81,
1606,Crystal R. Fox,,
1607,Cullen Douglas,11/6/67,
1608,Currie Graham,2/26/67,
1609,Curt Doussett,,
1610,Curtis Armstrong,11/27/53,
1611,Curtis Hanson,3/24/45,9/20/16
1612,Curtiss Cook,,
1613,Cybill Shepherd,2/18/50,
1614,Cyd Charisse,3/8/21,6/17/08
1615,Cyndi Lauper,6/22/53,
1616,Cynthia Barrett,,
1617,Cynthia Geary,3/21/65,
1618,Cynthia Myers,,
1619,Cynthia Nixon,4/9/66,
1620,Cynthia Rhodes,11/21/56,
1621,Cynthia Stevenson,8/2/62,
1622,Cynthia Watros,9/2/68,
1623,Cyril Raffaelli,4/1/74,
1624,Cyrus Nowrasteh,9/19/56,
1625,D. David Morin,4/20/55,
1626,D. Stevens,10/10/82,
1627,D.B. Sweeney,11/14/61,
1628,D.B. Woodside,7/25/69,
